timestamp	x	y	z
0	-3.154	3.007	-0.525
10	-3.097	3.139	-0.482
20	-2.834	2.82	-0.583
30	-2.776	2.385	-0.844
40	-2.879	2.356	-1.215
50	-2.877	2.452	-1.394
60	-2.673	2.583	-1.38
70	-2.482	2.557	-1.248
80	-2.47	2.521	-0.923
90	-2.419	2.976	-0.655
100	-2.252	3.211	-0.425
110	-2.35	3.182	-0.413
120	-2.441	3.23	-0.535
130	-2.24	3.074	-0.652
140	-1.936	2.425	-0.712
150	-2.029	2.04	-0.983
160	-2.331	2.689	-0.691
170	-2.293	3.448	-0.066
180	-2	3.163	0.123
190	-1.936	2.679	0.033
200	-1.979	2.976	0.073
210	-2.108	3.232	0.047
220	-2.269	3.012	-0.128
230	-2.336	2.696	-0.298
240	-2.261	2.83	-0.353
250	-2.415	3.342	-0.214
260	-2.479	3.704	-0.279
270	-2.621	3.553	-0.42
280	-2.688	3.366	-0.817
290	-2.743	3.313	-0.832
300	-2.771	3.349	-0.834
310	-2.771	3.313	-0.717
320	-2.836	3.539	-0.602
330	-2.757	4.001	-0.406
340	-2.858	3.828	-0.595
350	-2.889	3.634	-0.849
360	-2.903	3.737	-0.88
370	-2.779	3.67	-0.777
380	-2.719	3.627	-0.537
390	-2.709	3.704	-0.391
400	-2.477	3.665	-0.188
410	-2.213	3.488	-0.264
420	-2.058	3.254	-0.518
430	-2.261	2.78	-0.564
440	-2.259	2.368	-0.566
450	-1.921	2.588	-0.415
460	-1.988	3.189	-0.159
470	-1.986	3.165	0.018
480	-2.034	2.89	-0.023
490	-1.893	2.99	0.092
500	-1.859	3.017	0.052
510	-1.747	2.535	-0.178
520	-1.902	2.437	-0.501
530	-2.178	2.552	-0.602
540	-2.202	2.461	-0.633
550	-2.192	3.072	-0.319
560	-2.307	3.728	-0.343
570	-2.621	3.802	-0.707
580	-2.98	3.606	-1.351
590	-3.269	3.694	-2.043
600	-3.628	3.56	-2.362
610	-4.11	3.519	-2.891
620	-4.383	3.335	-2.936
630	-4.533	2.906	-3.185
640	-4.466	2.72	-3.125
650	-4.457	2.42	-3.068
660	-4.589	1.786	-3.178
670	-4.943	0.788	-3.621
680	-5.099	0.268	-4.378
690	-5.228	-0.34	-4.756
700	-5.561	-1.202	-4.902
710	-5.331	-1.413	-4.208
720	-4.596	-1.161	-3.954
730	-4.002	-0.551	-2.335
740	-4.012	-0.338	-1.138
750	-3.748	-0.812	-0.319
760	-3.681	-0.915	0.181
770	-3.461	-1.154	0.26
780	-3.839	-1.573	-0.245
790	-3.911	-1.961	-1.433
800	-3.605	-2.066	-2.536
810	-3.411	-2.289	-3.238
820	-3.487	-2.94	-3.128
830	-3.707	-3.606	-2.424
840	-3.083	-2.868	-1.615
850	-2.707	-1.772	-0.877
860	-2.649	-1.841	-0.346
870	-2.865	-2.105	-0.329
880	-3.035	-2.114	-0.504
890	-2.984	-1.796	-0.602
900	-2.81	-1.652	-1.028
910	-2.81	-2.706	-1.725
920	-2.336	-3.486	-1.66
930	-1.512	-3.275	-0.738
940	-1.093	-2.897	0.708
950	-1.225	-2.318	2.082
960	-0.863	-1.901	2.719
970	-0.727	-2.562	2.683
980	-0.427	-3.814	2.326
990	-0.389	-4.906	1.625
1000	-0.267	-4.997	1.275
1010	-0.102	-3.824	1.287
1020	0.468	-3.125	2.096
