timestamp	x	y	z
0	0.217	0.177	0.031
10	0.164	0.161	-0.007
20	0.114	0.062	0.033
30	0.131	0.041	-0.027
40	0.004	0.038	-0.015
50	0.049	0.094	0.028
60	0.049	0.113	0.009
70	0.095	0.089	-0.065
80	0.052	0.096	-0.103
90	-0.054	0.139	-0.12
100	0.042	0.137	-0.115
110	0.14	0.213	-0.146
120	0.112	0.165	-0.165
130	0.073	0.086	-0.132
140	0.128	0.01	-0.149
150	0.121	0.046	-0.134
160	0.121	0.017	-0.149
170	0.136	0.098	-0.007
180	0.169	0.11	-0.024
190	0.049	0.096	-0.003
200	-0.135	0.019	0.036
210	-0.195	0.022	0.021
220	-0.08	0.036	0.052
230	-0.01	0.113	0.055
240	0.066	0.043	0.119
250	0.069	-0.064	0.129
260	0.069	0.024	0.155
270	0.076	0.031	0.155
280	0.035	0.058	0.05
290	0.002	0.07	-0.067
300	0.021	0.168	-0.118
310	-0.046	0.22	-0.151
320	-0.063	0.268	-0.151
330	-0.02	0.311	-0.118
340	0.059	0.196	-0.06
350	0.131	0.168	-0.118
360	0.15	0.151	-0.115
370	0.121	0.127	-0.139
380	0.16	0.043	-0.146
390	0.176	0.027	-0.06
400	0.215	-0.005	-0.163
410	0.231	0.019	-0.089
420	0.155	-0.012	-0.098
430	0.195	0.043	-0.063
440	0.112	0.017	-0.086
450	0.176	0.115	-0.039
460	0.105	0.108	-0.055
470	0.148	0.127	-0.019
480	0.107	0.055	0.036
490	0.121	0.012	-0.017
500	0.069	-0.036	-0.029
510	0.179	-0.043	-0.019
520	0.251	-0.06	-0.015
530	0.361	-0.021	-0.005
540	0.358	0.041	-0.051
550	0.44	0.07	0.014
560	0.296	0.041	-0.005
570	0.215	0.11	0.028
580	0.143	0.132	-0.019
590	0.042	0.129	-0.039
600	0.124	0.058	-0.065
610	0.061	0.141	-0.146
620	0.059	0.206	-0.194
630	0.004	0.244	-0.256
640	0.059	0.247	-0.304
650	0.037	0.273	-0.316
660	0.061	0.259	-0.343
670	0.011	0.328	-0.259
680	-0.058	0.316	-0.218
690	-0.116	0.352	-0.158
700	-0.049	0.252	-0.089
710	-0.022	0.254	-0.027
720	0.057	0.199	0.038
730	0.078	0.173	0.062
740	0.167	0.106	0.146
750	0.061	0.007	0.182
760	-0.063	-0.029	0.153
770	-0.073	-0.079	0.026
780	-0.099	-0.029	0.074
790	-0.042	0.015	-0.034
800	0.085	0.07	-0.067
810	0.054	0.127	-0.113
820	0.021	0.158	-0.118
830	-0.058	0.213	-0.122
840	-0.094	0.225	-0.113
850	-0.152	0.146	-0.079
860	-0.14	0.072	-0.108
870	-0.192	0.022	-0.072
880	-0.185	0.074	-0.046
890	-0.118	0.067	-0.113
900	0.037	0.048	-0.13
910	0.057	0.074	-0.098
920	0.186	0.086	-0.146
930	0.215	0.091	-0.17
940	0.215	0.103	-0.106
950	0.128	0.115	-0.089
960	0.14	0.113	-0.161
970	0.148	0.079	-0.079
980	0.011	-0.029	-0.06
990	0.095	-0.076	-0.058
1000	0.114	0.05	-0.005
1010	0.121	0.029	-0.12
1020	0.083	0.015	-0.134
1030	0.045	0.048	-0.237
1040	0.033	0.017	-0.237
1050	0.157	0.024	-0.216
1060	0.248	0.041	-0.249
1070	0.215	0.098	-0.254
1080	0.215	0.17	-0.194
1090	0.186	0.036	-0.134
1100	0.037	-0.062	-0.098
1110	0.037	-0.189	0.076
1120	-0.018	-0.254	0.136
1130	-0.013	-0.201	0.158
1140	-0.039	-0.201	0.081
1150	0.042	-0.143	0.045
1160	0.088	-0.031	-0.091
1170	0.081	0.031	-0.106
1180	0.1	0.098	-0.185
1190	0.112	0.027	-0.182
1200	0.057	-0.024	-0.067
1210	-0.128	-0.105	-0.074
1220	-0.13	-0.081	-0.022
1230	-0.082	0.003	-0.142
1240	0.03	-0.019	-0.232
1250	0.121	-0.019	-0.249
1260	0.294	-0.045	-0.175
1270	0.392	-0.108	0.031
1280	0.282	-0.287	0.117
1290	0.176	-0.299	0.107
1300	0.131	-0.27	0.119
1310	0.126	-0.12	0.045
1320	-0.015	-0.031	-0.11
1330	-0.128	0.122	-0.063
1340	-0.307	0.156	-0.046
1350	-0.492	0.06	-0.043
1360	-0.54	-0.05	0.012
1370	-0.434	-0.132	0.002
1380	-0.386	-0.1	-0.024
1390	-0.331	-0.05	-0.003
1400	-0.288	-0.062	-0.024
1410	-0.295	-0.069	-0.036
1420	-0.283	-0.079	0.064
1430	-0.221	-0.093	-0.017
1440	-0.133	-0.074	-0.036
1450	-0.13	-0.098	-0.072
1460	-0.125	-0.005	-0.153
1470	-0.121	0.031	-0.153
1480	-0.267	0.134	-0.177
1490	-0.202	0.003	-0.177
1500	-0.264	-0.024	-0.074
1510	-0.355	-0.115	-0.086
1520	-0.37	-0.184	-0.079
1530	-0.2	-0.167	-0.041
1540	-0.001	-0.136	-0.053
1550	0.097	-0.127	-0.039
1560	0.167	-0.163	-0.101
1570	0.277	-0.096	-0.134
1580	0.282	-0.103	-0.065
1590	0.239	-0.055	-0.134
1600	0.195	-0.041	-0.098
1610	0.107	-0.069	-0.024
1620	0.04	-0.091	-0.039
1630	-0.022	-0.115	-0.034
1640	-0.044	-0.132	-0.01
1650	0.002	-0.122	-0.022
1660	-0.118	-0.067	0.026
1670	0.011	-0.069	0.028
1680	0.078	-0.007	-0.053
1690	-0.008	-0.026	-0.086
1700	-0.068	0.055	-0.122
1710	-0.092	0.158	-0.153
1720	-0.015	0.079	-0.242
1730	-0.032	0	-0.209
1740	0.006	-0.05	-0.142
1750	0.071	-0.11	-0.144
1760	0.205	-0.041	-0.046
1770	0.239	-0.076	-0.098
1780	0.243	-0.062	-0.024
1790	0.322	-0.112	-0.091
1800	0.26	-0.16	0.012
1810	0.124	-0.206	0.026
