timestamp	x	y	z
0	-0.033	0.043	-0.079
10	0.063	-0.005	0.009
20	-0.026	0.009	-0.012
30	0.046	0.007	-0.041
40	0.024	0.048	-0.046
50	-0.019	0.021	0.004
60	0.039	0.012	-0.055
70	-0.009	0.002	-0.075
80	0.003	-0.003	-0.058
90	0.032	0	-0.053
100	-0.038	-0.01	-0.055
110	0.036	0.002	-0.065
120	-0.014	-0.043	-0.058
130	0.003	-0.005	-0.118
140	-0.021	0.007	-0.101
150	-0.028	-0.022	-0.137
160	-0.011	0.021	0.016
170	0.017	0.017	-0.058
180	0.003	0.031	-0.077
190	-0.004	0.053	-0.048
200	0.015	0.017	-0.027
210	0.051	0.038	-0.058
220	0.06	-0.01	-0.082
230	-0.014	0.036	-0.099
240	0.015	0.05	-0.02
250	0.032	-0.017	-0.058
260	0.039	0.007	-0.012
270	0.017	0	0.007
280	0.036	0.057	0.04
290	0.024	0.002	-0.051
300	0.051	0.002	-0.041
310	0.022	0.002	-0.003
320	0.063	0.002	-0.058
330	0.017	0.029	-0.039
340	0.005	0.017	-0.067
350	0.044	-0.01	-0.067
360	0.041	-0.01	-0.063
370	0.051	0.017	0.048
380	0.034	-0.029	0.024
390	-0.002	0.055	-0.048
400	0.06	0	-0.077
410	-0.019	-0.017	-0.058
420	0	0.026	-0.017
430	0.063	0.024	-0.06
440	0.056	0.038	0.002
450	0.063	-0.003	-0.008
460	0.012	0.043	-0.024
470	0.032	0.038	0.019
480	0.017	0.017	-0.06
490	0.022	0.038	-0.031
500	0.048	-0.01	-0.012
510	0.02	-0.053	-0.036
520	0.063	-0.007	-0.015
530	0.082	0.033	-0.022
540	-0.023	0.009	-0.072
550	-0.021	-0.017	-0.024
560	-0.007	0.019	-0.015
570	0.084	-0.017	-0.043
580	0.034	0	-0.07
590	0.024	0.009	-0.099
600	-0.011	0.002	-0.02
610	0.008	-0.017	-0.039
620	0.046	0.005	-0.046
630	-0.021	-0.017	-0.046
640	0.012	0.019	-0.075
650	0.041	0.043	-0.075
660	0.022	0.024	-0.096
670	0.022	0	-0.053
680	0.017	-0.019	-0.055
690	0.017	-0.012	-0.058
700	0.044	0.012	0.012
710	-0.043	0.038	-0.02
720	-0.011	0.014	0.014
730	0.065	-0.003	-0.02
740	-0.002	-0.024	-0.079
750	0.005	0.002	-0.027
760	0.02	0.012	-0.053
770	-0.004	-0.034	-0.072
780	0.02	0.007	-0.046
790	0.027	-0.026	-0.012
800	0.032	0.053	-0.024
810	0.003	-0.019	-0.039
820	0.022	0.007	-0.039
830	0.075	0.005	-0.039
840	0.022	-0.012	-0.051
850	-0.016	-0.019	-0.046
860	0.022	0.043	-0.101
870	0.02	-0.01	-0.072
880	0.029	0.021	-0.087
890	0.044	0.007	-0.087
900	0.06	0.026	0.007
910	0.022	0.045	-0.094
920	-0.04	-0.003	-0.07
930	0.063	-0.043	-0.01
940	0	0.026	-0.099
950	0.029	0.038	-0.043
960	0.01	0.014	-0.067
970	0	-0.014	-0.02
980	0.108	-0.01	-0.024
990	0.034	-0.012	0
1000	0.068	0.019	0.019
1010	-0.004	-0.005	0.026
1020	0.056	0.048	0.002
1030	-0.011	0.009	-0.036
1040	0.053	-0.007	-0.101
1050	0.094	0.031	-0.048
1060	-0.04	0	-0.036
1070	0.044	0.033	-0.13
1080	0.022	0.019	-0.063
1090	0.032	0.007	-0.06
1100	0.091	-0.003	-0.067
1110	0.008	-0.034	-0.012
1120	-0.019	0.033	-0.022
1130	0	0.007	-0.048
1140	0.024	-0.041	-0.055
1150	0.072	0.033	-0.051
1160	-0.047	0.036	-0.101
1170	0.063	0.043	0.04
1180	0.089	0.024	0.016
1190	0.01	0.05	-0.027
1200	-0.004	0.036	0.007
1210	-0.014	0.053	0
1220	0.056	0.021	-0.008
1230	0.012	-0.017	-0.058
1240	0.027	0.009	-0.039
1250	0.041	0.009	-0.027
1260	-0.031	-0.034	-0.067
1270	0.034	-0.005	-0.024
1280	0.01	0.076	-0.022
1290	0.053	0.021	-0.024
1300	0.012	-0.003	-0.017
1310	0.068	0.002	-0.11
1320	0.041	0.043	-0.029
1330	0.053	0.014	-0.087
1340	0.046	0.007	-0.072
1350	0.034	0.005	-0.082
1360	-0.023	0.041	-0.058
1370	0.01	0.005	-0.075
1380	-0.026	0.036	-0.027
1390	0.005	0.021	-0.048
1400	-0.011	0.019	-0.034
1410	0.027	0.007	-0.048
1420	-0.026	0.033	-0.039
1430	0	0.033	-0.084
1440	0.022	0.026	-0.017
1450	0.034	-0.01	-0.017
1460	0.039	-0.005	-0.053
1470	0.027	-0.029	-0.031
1480	0.005	0.021	-0.041
1490	0.051	-0.022	-0.017
1500	0.034	-0.007	-0.11
1510	0.034	-0.01	-0.048
1520	0	-0.041	-0.075
1530	0.015	0.038	-0.075
1540	0.027	-0.022	-0.099
1550	0.017	-0.014	-0.017
1560	0.087	0	-0.039
1570	-0.004	-0.036	-0.079
1580	-0.026	-0.003	-0.079
1590	0.005	0	-0.11
1600	0.036	0.021	-0.02
1610	0.01	-0.005	-0.07
1620	-0.009	-0.026	-0.039
1630	0.005	0.024	-0.06
1640	-0.052	0.024	-0.06
1650	-0.007	0.007	-0.048
1660	0.048	0.067	-0.084
1670	-0.023	-0.029	-0.067
1680	0.017	0.009	-0.084
1690	0.015	0.029	-0.005
1700	-0.007	-0.043	-0.041
1710	0.039	0.019	-0.043
1720	0.029	0.009	-0.065
1730	0	-0.031	-0.077
1740	-0.067	0.036	-0.027
1750	0.058	-0.007	-0.089
1760	0.032	0.007	-0.043
1770	-0.007	0.012	-0.125
1780	0.024	-0.024	-0.077
1790	0.041	-0.041	-0.077
1800	-0.004	-0.017	-0.017
1810	0.029	0.002	-0.06
1820	0.029	0.031	-0.029
1830	0.036	-0.058	-0.029
1840	0.041	0.012	-0.029
1850	0.012	-0.01	-0.091
1860	0.015	0.019	-0.015
1870	0.02	0.043	-0.031
1880	0.041	0.021	-0.031
1890	0.012	0.065	-0.036
1900	-0.04	-0.014	-0.072
1910	0.044	0.029	-0.027
1920	-0.028	-0.038	-0.012
1930	0.036	-0.029	-0.039
1940	0.044	0	-0.051
1950	0.003	0.024	-0.015
1960	0.048	0.012	-0.034
1970	0.022	0.002	-0.041
1980	0.022	0.009	-0.055
1990	0.003	0.048	-0.034
2000	0.005	0.005	-0.079
2010	0.027	0.026	-0.089
2020	0.029	0.019	-0.036
2030	-0.002	-0.005	-0.015
2040	-0.031	0.05	-0.055
2050	0.01	-0.019	-0.072
2060	0.041	0.031	-0.039
2070	0.017	-0.014	-0.063
2080	0.072	0.005	-0.01
2090	0.034	-0.014	-0.072
2100	0.015	0	-0.017
2110	0.024	-0.003	0.009
2120	0.022	-0.003	-0.063
2130	-0.028	0.024	-0.017
2140	0.029	0.007	-0.051
2150	0.022	0.021	-0.048
2160	-0.021	-0.014	-0.051
2170	-0.002	0.033	-0.096
2180	-0.04	-0.01	0.009
2190	0.029	0.014	-0.029
2200	0.034	-0.014	-0.079
2210	-0.014	0.012	-0.053
2220	-0.028	-0.007	-0.087
2230	0.003	-0.005	-0.039
2240	-0.002	-0.003	-0.027
2250	0.01	0.029	-0.051
2260	0.053	0.029	-0.063
2270	0.02	0	-0.06
2280	0.046	-0.024	-0.02
2290	-0.004	0.019	-0.012
2300	0.041	0.019	-0.046
2310	0.029	0.031	-0.031
2320	-0.035	0.029	-0.034
2330	0.017	0.026	-0.022
2340	0.039	0.033	-0.039
2350	0.096	0.019	-0.024
2360	0.032	0.009	-0.012
2370	0.041	0.024	0.009
2380	-0.021	0.088	0.002
2390	0.02	0.012	-0.06
2400	0.06	-0.026	-0.106
2410	0.024	-0.019	-0.029
2420	0.02	0.031	-0.039
2430	-0.028	0.06	-0.029
2440	0.027	0.079	-0.017
2450	0.039	-0.01	-0.067
2460	0.041	0	-0.072
2470	0.106	-0.038	-0.031
2480	0	0.038	-0.005
2490	0.075	0	-0.094
2500	0.034	0.012	-0.031
2510	0.003	0.038	-0.046
2520	0.032	-0.031	-0.02
2530	0.027	-0.005	-0.027
2540	0.036	0.014	-0.043
2550	0.07	-0.014	-0.01
2560	0.036	0.057	-0.053
2570	0.02	0.012	-0.012
2580	-0.014	-0.007	-0.008
2590	0.06	0.053	-0.075
2600	0.027	0.014	-0.063
2610	0.015	0.05	-0.063
2620	0.017	0.031	0.014
2630	0.046	0	-0.036
2640	0.032	0.017	-0.072
2650	0.068	0	-0.06
2660	-0.009	0.002	-0.048
2670	0.027	0.017	-0.063
2680	0.07	-0.019	-0.07
2690	0	0.009	-0.039
2700	0.087	0.043	-0.039
2710	-0.011	0.029	-0.015
2720	-0.007	0.005	-0.041
2730	0.036	-0.046	-0.07
2740	0.032	0.031	-0.067
2750	0.032	0.012	-0.034
2760	0.008	0.002	-0.091
2770	0.003	0	-0.048
2780	0.068	0.038	-0.039
2790	-0.016	0.038	-0.075
2800	0.06	0.002	-0.005
2810	0.005	0.036	0.028
2820	0.005	0.005	-0.003
2830	0.036	0.014	-0.036
2840	0.015	0.041	-0.034
2850	0.036	-0.005	-0.043
2860	-0.004	0.038	-0.012
2870	-0.019	0.021	-0.077
2880	0.015	-0.022	-0.039
2890	-0.014	-0.043	-0.046
2900	0.068	-0.003	-0.043
2910	0.032	-0.007	-0.067
2920	0.022	0.026	-0.058
2930	0.06	0.026	-0.043
2940	0.022	0.017	-0.024
2950	0.063	-0.012	-0.039
2960	0.053	0.012	-0.039
2970	0.027	0	-0.12
2980	0.044	-0.017	-0.024
2990	0.039	0.017	-0.113
3000	0.02	0	-0.075
3010	0.015	0.05	-0.072
3020	0.003	0.014	-0.125
3030	0.044	-0.017	-0.11
3040	0	0.007	-0.012
3050	0.048	0.06	-0.043
3060	-0.021	0.017	-0.058
3070	0.01	0.053	-0.039
3080	0.053	0.021	-0.003
3090	-0.074	-0.017	-0.022
3100	-0.05	0.033	0.031
3110	-0.004	-0.007	-0.048
3120	-0.007	-0.003	0.004
3130	0.051	-0.024	0.028
3140	0.034	-0.017	-0.031
3150	-0.009	-0.031	-0.017
3160	-0.002	-0.029	-0.022
3170	-0.016	0.009	-0.082
3180	0.022	0.029	-0.055
3190	0.003	0.026	-0.015
3200	-0.021	0	-0.005
3210	0.048	-0.01	0
3220	-0.043	0.031	-0.053
3230	-0.047	-0.007	-0.053
3240	0.015	0.033	-0.082
3250	0.027	-0.022	0.028
3260	0.06	0.007	-0.024
3270	0.051	-0.031	-0.046
3280	0.039	-0.026	0.002
3290	-0.019	0.017	-0.041
3300	0.008	0.009	0.016
3310	-0.019	0.021	-0.034
3320	0.036	0.041	0.043
3330	0.053	-0.005	-0.005
3340	-0.011	0.031	0.016
3350	0.068	-0.003	-0.015
3360	-0.016	0.029	0.038
3370	0.051	0.021	0.016
3380	0.048	-0.031	0.004
3390	0.048	0.055	-0.077
3400	-0.021	0.065	-0.005
3410	0.044	0.014	-0.051
3420	0.017	0.009	-0.008
3430	0.01	0.009	-0.01
3440	0.029	-0.01	-0.082
3450	0.034	-0.017	-0.082
3460	0.008	0.005	-0.055
3470	-0.002	0.009	-0.027
3480	0.044	0.033	-0.094
3490	0.022	0.026	-0.046
3500	0.058	-0.005	-0.075
3510	0.032	0	-0.091
3520	0.048	0.024	-0.046
3530	-0.047	-0.007	-0.094
3540	0.06	0.024	-0.041
3550	-0.004	0.045	-0.053
3560	0.036	0.033	-0.003
3570	0.024	-0.031	-0.055
3580	0.041	0.009	-0.036
3590	0.036	0.017	-0.046
3600	-0.014	0.009	-0.051
3610	0.012	0.014	-0.058
3620	-0.002	0.017	-0.07
3630	-0.035	0.024	-0.043
3640	0.053	0.043	-0.027
3650	-0.011	-0.012	-0.031
3660	0.017	-0.003	-0.065
