timestamp	x	y	z
0	-3.432	-8.011	5.084
10	-1.5	-6.234	6.289
20	0.171	-5.19	7.112
30	0.391	-3.797	7.32
40	-0.559	-2.454	7.416
50	0.812	-2.123	9.514
60	1.899	-1.118	11.185
70	3.058	0.549	13.131
80	3.604	2.327	13.581
90	3.764	3.647	12.099
100	4.31	4.47	10.797
110	4.456	4.19	9.964
120	4.071	2.864	10.198
130	3.875	1.705	11.142
140	4.358	1.276	12.044
150	4.526	1.346	11.86
160	4.626	1.916	10.821
170	4.361	2.292	9.449
180	4.047	2.284	8.501
190	3.99	1.695	8.173
200	3.846	1.444	8.242
210	3.748	1.377	8.261
220	3.743	1.456	8.395
230	3.906	1.516	8.678
240	3.906	2.016	8.834
250	5.103	1.973	9.616
260	7.509	1.817	11.218
270	10.947	2.074	13.797
280	15.568	2.483	16.059
290	16.415	2.768	16.059
300	16.415	2.234	16.059
310	16.415	-0.277	14.005
320	16.415	-3.66	15.607
330	16.415	-7.51	13.421
340	16.415	-11.976	9.312
350	16.415	-14.834	3.116
360	16.415	-15.574	-5.201
370	1.466	-15.466	-13.765
380	-22.811	-8.83	-21.862
390	-22.811	-1.721	-23.167
400	-22.811	8.674	-23.167
410	-22.811	18.703	-23.167
420	-22.811	14.847	-23.167
430	-22.811	8.737	-23.167
440	-22.811	2.94	-15.48
450	-22.811	-2.083	-8.129
460	-16.423	-5.818	-2.536
470	-12.368	-8.406	1.036
480	-9.133	-9.644	3.164
490	-6.892	-9.134	3.966
500	-4.943	-7.872	4.986
510	-3.533	-6.955	6.097
520	-1.481	-6.091	7.589
530	-1.429	-2.739	9.269
540	-2.329	0.558	9.705
550	-3.854	3.735	9.262
560	-5.365	5.715	8.549
570	-5.089	6.943	8.161
580	-3.109	8.038	7.416
590	0.705	8.818	8.623
600	2.792	9.156	10.186
610	3.111	10.413	10.426
620	4.203	10.204	9.466
630	4.71	9.572	8.221
640	4.128	8.299	7.941
650	4.476	6.094	8.281
660	4.509	4.276	8.822
670	5.936	2.454	9.705
680	7.028	0.74	10.165
690	7.562	-0.469	9.741
700	8.079	-1.628	9.284
710	8.749	-3.153	9.107
720	8.941	-4.417	9.186
730	9.752	-5.509	9.935
740	12.264	-6.407	11.812
750	14.277	-6.747	12.099
760	16.415	-7.472	12.221
770	16.415	-8.195	11.924
780	16.415	-9.833	11.292
790	16.415	-10.781	9.231
800	16.415	-11.899	6.236
810	16.415	-11.619	1.4
820	16.415	-12.579	-4.165
830	16.415	-14.396	-8.498
840	11.232	-15.375	-12.137
850	-18.269	-11.432	-17.263
860	-22.811	-3.404	-19.037
870	-22.811	2.213	-22.202
880	-22.811	18.703	-23.167
890	-22.811	18.703	-13.035
900	-22.811	10.805	-11.675
910	-22.811	5.912	-4.349
920	-22.811	-3.895	-0.851
930	-13.024	-7.47	1.017
940	-6.564	-8.284	1.957
950	-2.401	-6.584	2.592
960	-1.426	-2.633	3.186
970	2.91	0.91	3.135
980	6.604	4.027	4.265
990	8.893	3.692	5.932
1000	9.97	0.692	8.003
1010	8.16	-0.11	8.769
1020	5.333	-0.285	8.85
1030	1.749	0.467	9.3
1040	-3.066	2.399	9.277
1050	-8.47	5.526	8.427
1060	-10.955	6.611	6.38
1070	-12.648	7.918	5.103
1080	-13.754	7.726	4.093
1090	-13.155	7.451	2.738
1100	-11.92	7.501	2.439
1110	-9.598	6.517	2.824
1120	-8.357	6.726	3.296
1130	-7.201	6.651	3.447
1140	-6.569	6.546	3.219
1150	-5.24	5.861	2.929
1160	-4.086	5.299	2.865
1170	-2.561	4.396	3.827
1180	-0.33	3.019	4.641
1190	2.342	2.035	5.594
1200	3.958	1.734	6.03
1210	5.349	1.535	6.303
1220	6.604	1.322	6.978
1230	8.098	0.489	7.498
1240	9.415	0.079	8.482
1250	10.061	-0.423	10.112
1260	11.972	-1.407	12.516
1270	13.607	-1.68	14.891
1280	15.937	-1.429	16.059
1290	16.415	-1.429	16.059
1300	16.415	-0.67	16.059
1310	16.415	-0.85	16.059
1320	16.415	-1.419	16.059
1330	16.415	-2.581	12.083
1340	16.415	-4.68	7.028
1350	16.415	-7.005	0.473
1360	16.415	-9.778	-6.537
1370	10.578	-12.332	-12.434
1380	-21.238	-12.138	-19.923
1390	-22.811	-11.454	-23.084
1400	-22.811	-7.424	-21.578
1410	-22.811	0.549	-23.167
1420	-22.811	4.959	-22.595
1430	-22.811	2.009	-13.76
1440	-22.811	-1.98	-7.854
1450	-22.811	-4.573	-2.144
1460	-21.212	-6.17	0.844
1470	-16.617	-6.79	2.963
1480	-12.727	-6.143	3.65
1490	-8.257	-3.646	2.69
1500	-4.074	-0.799	1.275
1510	-1.74	1.928	0.784
1520	0.2	3.352	0.499
1530	0.958	3.769	0.339
1540	0.863	3.647	1.632
1550	-0.093	3.321	3.289
1560	0.472	3.833	5.372
1570	-0.758	4.511	5.728
1580	-0.696	5.775	5.987
1590	-1.318	6.395	5.293
1600	-1.922	6.371	4.936
1610	-1.804	4.801	4.807
1620	-1.378	3.314	5.044
1630	-1.275	3.209	5.34
1640	-0.928	3.18	6.071
1650	-0.72	2.564	6.377
1660	-0.002	1.382	7.031
1670	0.587	0.211	7.519
1680	2.213	-0.917	8.34
1690	4.124	-2.356	9.312
1700	5.984	-3.538	10.141
1710	8.213	-3.818	10.77
1720	10.198	-4.065	10.998
1730	11.682	-3.644	10.723
1740	12.465	-2.71	10.249
1750	13.358	-2.274	9.978
1760	13.559	-0.977	9.715
1770	14.268	0.027	9.861
1780	16.131	0.101	10.217
1790	16.415	0.316	10.445
1800	16.415	-0.713	11.656
1810	16.415	-2.698	13.004
1820	16.415	-3.423	13.998
1830	16.415	-4.008	13.086
1840	16.415	-4.592	9.468
1850	16.415	-5.858	4.014
1860	16.415	-7.704	-1.782
1870	6.202	-9.524	-9.235
1880	-15.978	-8.169	-17.876
1890	-22.811	-6.967	-20.457
1900	-22.811	-6.349	-19.586
1910	-22.811	-1.817	-22.179
1920	-22.811	2.392	-23.167
1930	-22.811	1.248	-22.617
1940	-22.811	-2.377	-18.123
1950	-22.811	-5.564	-8.184
1960	-22.811	-8.355	-2.022
1970	-22.811	-8.676	0.811
1980	-20.051	-7.419	0.997
1990	-17.647	-5.813	-0.303
2000	-16.735	-3.119	-2.532
2010	-13.225	-0.737	-3.346
2020	-9.428	1.224	-3.358
2030	-4.67	1.528	-1.725
2040	-2.865	4.331	-0.465
2050	-2.614	5.746	-0.98
2060	-1.414	7.171	-0.973
2070	0.391	7.599	-0.932
2080	2.28	8.148	0.21
2090	4.61	6.831	2.537
2100	6.75	5.265	4.723
2110	8.17	4.097	6.389
2120	11.632	1.157	7.778
2130	14.862	-2.89	9.423
2140	16.415	-8.595	12.169
2150	16.415	-14.518	15.901
2160	16.415	-16.419	16.059
2170	16.415	-16.618	16.059
2180	12.424	-14.288	16.059
2190	7.875	-9.818	14.118
2200	3.961	-4.618	10.914
2210	0.738	0.331	7.984
2220	-1.055	4.291	5.764
2230	-1.967	7.104	4.838
2240	-1.862	8.397	4.584
2250	-0.72	8.943	5.695
2260	1.61	8.358	7.04
2270	5.982	7.772	9.846
2280	11.661	6.273	13.363
2290	16.415	2.912	16.059
2300	16.415	-0.4	16.059
2310	16.415	-3.981	16.059
2320	16.415	-6.943	16.059
2330	16.415	-10.814	14.561
2340	16.415	-13.759	6.717
2350	16.415	-17.24	-2.328
2360	16.415	-19.56	-11.644
2370	-14.288	-17.13	-23.167
2380	-22.811	-8.554	-23.167
2390	-22.811	-8.126	-23.167
2400	-22.811	-8.877	-23.167
2410	-22.811	-5.49	-23.167
2420	-22.811	-2.77	-23.167
2430	-22.811	-2.14	-18.985
2440	-22.811	-4.281	-12.7
2450	-22.811	-6.33	-6.171
2460	-22.811	-7.687	-2.05
2470	-22.567	-8.174	-0.279
2480	-20.546	-8.561	0.044
2490	-16.177	-8.652	-0.355
2500	-12.741	-7.161	-1.363
2510	-10.481	-4.898	-2.472
2520	-8.661	-3.335	-3.078
2530	-6.341	-1.884	-3.08
2540	-5.518	-0.57	-2.965
2550	-5.551	0.699	-2.146
2560	-4.39	1.568	-0.882
2570	-3.43	2.124	0.042
2580	-2.657	2.045	1.237
2590	-1.67	2.282	2.594
2600	-0.437	2.081	3.202
2610	0.032	2.773	3.085
2620	1.648	2.732	3.423
2630	3.417	1.312	3.916
2640	4.301	0.675	5.745
2650	5.814	-0.483	7.419
2660	7.157	-1.822	8.874
2670	8.562	-3.598	9.983
2680	10.164	-5.954	10.66
2690	13.772	-11.932	11.79
2700	12.884	-11.82	13.079
2710	10.894	-11.312	12.968
2720	10.181	-11.176	13.038
2730	9.41	-8.559	13.081
2740	9.005	-6.232	12.688
2750	10.703	-4.534	12.214
2760	14.306	-4.051	12.669
2770	16.415	-5.085	13.984
2780	16.415	-6.85	15.475
2790	16.415	-8.81	14.134
2800	16.415	-11.379	10.95
2810	16.415	-13.862	8.067
2820	16.415	-15.1	3.083
2830	16.415	-17.216	-2.936
2840	16.415	-17.935	-12.82
2850	5.366	-17.839	-23.167
2860	-22.811	-13.513	-23.167
2870	-22.811	-9.21	-23.167
2880	-22.811	3.031	-23.167
2890	-22.811	15.321	-23.167
2900	-22.811	18.703	-23.167
2910	-22.811	5.054	-13.629
2920	-22.811	-1.951	-1.612
2930	-22.811	-4.443	0.432
2940	-18.48	-4.149	-0.286
2950	-8.214	-4.125	-0.351
2960	-1.699	-4.237	-0.77
2970	1.746	-2.109	-0.152
2980	3.472	0.06	0.327
2990	4.047	2.914	0.921
3000	5.292	4.137	1.397
3010	4.674	4.906	2.08
3020	2.223	5.114	2.822
3030	-0.483	4.559	2.932
3040	-2.032	3.972	3.31
3050	-3.986	3.187	3.269
3060	-5.278	3.551	4.069
3070	-6.231	3.939	4.493
3080	-6.145	2.634	4.452
3090	-4.522	0.319	4.763
3100	-5.994	1.834	4.85
3110	-5.602	1.008	4.359
3120	-4.946	0.158	4.72
3130	-4.201	-0.299	5.197
3140	-2.844	-1.125	5.74
3150	-1.79	-1.544	6.195
3160	-0.579	-1.764	6.633
3170	1.931	-3.842	7.237
3180	3.147	-4.259	8.029
3190	3.944	-4.771	9.039
3200	5.036	-5.729	10.229
3210	6.64	-6.62	11.608
3220	8.187	-7.022	12.918
3230	10.21	-7.644	14.063
3240	11.886	-8.411	14.714
3250	14.634	-10.101	15.667
3260	16.415	-13.589	16.059
3270	16.415	-17.444	16.059
3280	16.415	-20.523	16.059
3290	16.415	-20.523	16.059
3300	16.415	-20.523	12.183
3310	16.415	-20.523	7.421
3320	16.415	-20.523	0.018
3330	16.415	-20.523	-5.855
3340	12.309	-20.523	-12.278
3350	-17.494	-20.463	-23.167
3360	-22.811	-9.083	-23.167
3370	-22.811	3.747	-23.167
3380	-22.811	18.703	-23.167
3390	-22.811	18.703	-23.167
3400	-22.811	18.703	-23.167
3410	-22.811	14.181	-15.305
3420	-22.811	3.85	-3.173
3430	-21.834	-2.107	0.782
3440	-15.497	-3.754	1.175
3450	-9.701	-4.999	1.742
3460	-6.176	-4.12	1.598
3470	-3.504	-1.75	1.139
3480	-0.885	-0.014	1.558
3490	0.286	1.571	2.443
3500	0.053	3.12	2.977
3510	-0.394	3.405	3.48
3520	-2.164	3.979	3.511
3530	-2.891	4.406	3.365
3540	-3.243	4.403	3.14
3550	-3.054	3.747	3.435
3560	-3.119	3.074	3.799
3570	-2.963	2.181	4.285
3580	-2.302	-0.198	4.414
3590	-2.051	-1.752	5
3600	-3.296	-2.602	6.02
3610	-3.485	-3.711	7.115
3620	-2.824	-4.97	8.082
3630	-2.465	-5.473	8.582
3640	-1.778	-5.528	8.652
3650	-0.476	-5.973	8.537
3660	0.64	-6.433	8.288
3670	1.461	-6.955	8.604
3680	2.857	-9.56	9.243
3690	4.33	-9.842	10.574
3700	4.114	-8.612	10.9
3710	5.668	-8.825	10.67
3720	7.897	-9.562	10.342
3730	8.531	-9.09	10.574
3740	8.938	-8.851	10.751
3750	9.92	-9.088	11.003
3760	11.622	-9.854	11.441
3770	14.938	-12.852	11.836
3780	16.415	-17.331	12.698
3790	16.415	-20.523	15.398
3800	16.415	-20.523	13.028
3810	16.415	-20.523	10.033
3820	16.415	-20.523	5.903
3830	16.415	-20.523	-1.562
3840	16.415	-20.523	-9.075
3850	6.884	-20.523	-14.991
3860	-15.068	-19.496	-23.167
3870	-22.811	-9.095	-23.167
3880	-22.811	2.031	-23.167
3890	-22.811	13.918	-23.167
3900	-22.811	18.484	-23.167
3910	-22.811	17.054	-18.154
3920	-22.811	5.579	-3.377
3930	-22.811	-1.362	6.499
3940	-22.811	-4.819	7.241
3950	-16.558	-6.105	5.958
3960	-10.337	-5.253	4.318
3970	-5.128	-3.186	2.771
3980	-0.959	-1.704	1.572
3990	1.354	-0.491	1.802
4000	1.947	1.329	2.135
4010	1.121	3.642	2.216
4020	0.195	4.504	2.374
4030	-0.818	4.71	2.108
4040	-1.462	4.875	2.127
4050	-2.211	4.238	1.555
4060	-2.542	3.611	1.979
4070	-2.731	2.861	2.568
4080	-2.951	1.554	3.401
4090	-3.049	0.146	4.285
4100	-3.243	-0.95	5.182
4110	-2.93	-2.075	5.733
4120	-2.484	-2.794	6.25
4130	-1.919	-3.299	6.794
4140	-1.417	-3.285	6.959
4150	-0.198	-3.548	7.112
4160	1.284	-4.089	7.56
4170	2.622	-4.211	8.585
4180	3.436	-4.125	9.236
4190	4.516	-4.156	9.645
4200	5.263	-4.077	9.806
4210	6.238	-3.677	9.554
4220	6.796	-3.139	9.363
4230	8.06	-3.313	9.31
4240	9.879	-4.415	9.423
