timestamp	x	y	z
0	3.496	5.863	-7.319
10	3.13	5.652	-6.354
20	2.459	5.63	-6.016
30	1.81	5.381	-4.455
40	1.159	4.867	-4.673
50	0.175	3.562	-2.916
60	0.036	2.614	-1.714
70	-0.227	1.388	-0.263
80	-0.586	0.658	0.544
90	-1.209	-0.178	1.518
100	-1.046	-0.688	1.83
110	-1.968	-1.129	1.396
120	-2.308	-1.694	2.069
130	-3.081	-1.952	2.912
140	-12.864	-8.019	10.343
150	-7.058	-2.575	7.437
160	-6.124	-3.829	7.743
170	-6.948	-1.974	5.658
180	-8.36	-3.906	3.302
190	-7.07	-5.539	5.493
200	-7.278	-4.155	5.634
210	-7.549	-3.499	5.167
220	-5.904	-3.283	4.253
230	-5.097	-3.276	2.378
240	-4.417	-2.74	2.617
250	-4.352	-2.783	4.195
260	-4.663	-1.914	5.067
270	-1.577	-2.026	1.882
280	-2.865	-1.598	2.481
290	2.136	-2.002	0.714
300	-3.421	0.904	1.518
310	-4.192	2.051	1.418
320	0.173	-0.264	0.525
330	-0.404	1.103	-1.819
340	-0.706	2.247	-0.009
350	0.281	2.379	-1.237
360	0.999	2.525	-1.896
370	0.951	3.416	-2.257
380	1.054	3.432	-2.121
390	1.303	3.904	-3.39
400	2.921	3.662	-4.089
410	1.897	4.5	-2.865
420	3.048	4.929	-4.833
430	3.496	4.85	-4.893
440	3.812	5.434	-6.019
450	4.224	5.501	-6.44
460	4.48	5.69	-6.749
470	4.657	5.456	-6.619
480	5.323	6.049	-7.671
490	4.133	6.686	-7.091
500	2.936	6.983	-6.72
510	2.507	7.093	-6.272
520	1.53	6.724	-5.875
530	0.618	6.542	-4.424
540	-0.557	6.435	-3.555
550	-1.793	5.889	-2.566
560	-2.509	4.797	0.178
570	-3.524	3.487	0.223
580	-3.11	1.555	2.505
590	-4.199	0.035	4.935
600	-2.767	-1.548	4.569
610	-2.533	-2.254	5.859
620	-2.104	-3.379	6.582
630	-0.696	-5.057	8.155
640	-1.855	-3.401	6.154
650	-2.329	-2.943	7.813
660	-1.446	-2.939	5.411
670	-3.277	-2.814	6.02
680	-3.251	-3.604	5.658
690	-3.457	-4.002	6.968
700	-3.514	-2.668	6.23
710	-4.039	-2.172	7.061
720	-3.392	-2.206	6.118
730	-3.426	-1.753	5.905
740	-2.904	-1.741	5.502
750	-2.403	-1.653	4.873
760	-1.613	-1.399	4.085
770	-0.828	-1.018	3.149
780	-0.198	-0.58	2.493
790	-0.067	0.136	2.359
800	0.17	1.311	1.514
810	-0.014	2.101	0.381
820	0.609	2.695	-0.646
830	0.941	3.406	-1.618
840	1.755	4.143	-2.99
850	2.117	5.25	-4.35
860	2.34	6.15	-5.049
870	3.17	6.689	-6.385
880	3.62	7.088	-6.519
890	3.63	7.742	-6.904
900	3.884	8.312	-7.668
910	4.406	7.754	-7.45
920	4.487	7.687	-7.785
930	4.98	7.725	-7.977
940	5.395	7.833	-8.631
950	5.22	7.634	-9.598
960	4.899	8.001	-8.777
970	-6.916	-0.429	-6.44
980	4.176	5.855	-7.568
990	-1.19	6.61	-6.885
1000	3.989	10.479	-5.901
1010	5.596	5.477	-6.746
1020	6.005	4.819	-4.546
1030	2.397	3.064	-0.782
1040	-0.706	3.813	2.131
1050	-0.256	1.522	5.095
1060	1.631	1.208	4.219
1070	1.243	0.796	3.063
1080	-0.04	2.12	2.512
1090	-0.435	0.104	5.299
1100	2.888	-1.988	5.119
1110	2.493	-4.389	5.823
1120	4.626	-4.775	6.494
1130	1.162	-2.692	6.697
1140	0.898	-1.761	7.162
1150	0.237	-2.227	6.879
1160	-0.256	-1.94	6.721
1170	-0.507	-1.94	6.187
1180	-0.737	-1.411	4.765
1190	-0.364	-1.157	5.356
1200	0.304	-1.028	4.521
1210	0.688	-1.27	4.468
1220	1.42	-1.428	4.466
1230	1.607	-1.495	4.152
1240	1.617	-1.701	4.267
1250	2.012	-1.136	3.937
1260	2.083	-0.465	3.149
1270	2.007	-0.063	2.361
1280	2.079	-0.583	2.174
1290	2.095	-0.283	1.538
1300	2.244	-0.238	1.645
1310	2.289	0.672	0.568
1320	2.603	1.888	-1.149
1330	3.824	2.163	-3.507
1340	3.915	2.944	-5.434
1350	4.008	4.364	-7.182
1360	3.886	5.925	-8.291
1370	3.561	7.249	-9.133
1380	4.851	8.477	-9.993
1390	4.947	8.925	-10.436
1400	5.641	8.649	-10.091
1410	5.952	9.518	-10.498
1420	5.723	10.797	-10.512
1430	5.837	11.393	-10.512
1440	5.529	10.998	-10.551
1450	4.964	10.89	-9.595
1460	3.987	9.976	-8.305
1470	3.391	8.489	-7.082
1480	2.845	7.823	-6.27
1490	1.734	7.39	-4.556
1500	1.351	5.63	-3.426
1510	1.157	4.802	-1.505
1520	0.798	3.507	-0.057
1530	1.119	3.069	1.389
1540	1.039	2.017	2.364
1550	0.527	0.464	4.061
1560	1.181	-1.121	5.782
1570	1.894	-1.5	6.005
1580	0.077	-2.232	7.403
1590	0.015	-2.23	8.493
1600	-0.026	-2.488	9.642
1610	0.304	-2.539	10.343
1620	0.204	-2.984	10.329
1630	0.668	-3.235	9.862
1640	0.767	-2.843	8.864
1650	0.75	-2.208	7.7
1660	1.023	-2.292	6.814
1670	1.31	-1.897	6.01
1680	0.886	-1.061	4.775
1690	0.786	-0.578	3.527
1700	0.592	-0.243	3.343
1710	0.879	1.012	3.123
1720	1.526	1.663	2.229
1730	1.676	1.749	1.842
1740	2.172	2.389	0.51
1750	1.877	3.442	0.254
1760	2.78	3.906	-1.233
1770	2.979	4.917	-2.729
1780	3.331	5.812	-3.703
1790	3.529	6.626	-4.213
1800	4.054	7.237	-4.651
1810	4.035	8.288	-5.274
1820	4.253	9.224	-5.963
